,roc,prc,cost,delay(p>=0.1),delay(p>=0.2),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),lambda,seed
0,0.7403731642747354,0.5762527436016932,6.014999866485596,1.4054313898086548,1.2713568210601807,1.4016510248184204,1.4891456365585327,1.6178970336914062,100.0,0
1,0.7293251074330485,0.5563096372462302,6.077499866485596,1.2222548723220825,1.1869875192642212,1.5798890590667725,1.809748649597168,1.2777348756790161,100.0,0
2,0.7326777946203205,0.5526506431746895,6.302499771118164,1.263418197631836,1.2469913959503174,1.4546713829040527,1.8948744535446167,1.9134132862091064,100.0,0
0,0.6647560134850109,0.46682964272547744,4.747499942779541,0.7918046712875366,1.3462706804275513,2.327812433242798,2.7826128005981445,2.9530344009399414,100.0,1
1,0.673924544230291,0.49474434901020276,4.832499980926514,0.7976852655410767,1.5550119876861572,2.1473183631896973,2.5427134037017822,2.9509084224700928,100.0,1
2,0.6678482787377812,0.4846291813964721,4.914999961853027,0.7959210872650146,1.2622652053833008,2.0739924907684326,2.687537908554077,2.9530344009399414,100.0,1
0,0.7485906263106054,0.5827133806234631,7.327499866485596,0.652731716632843,1.0662522315979004,1.3711928129196167,1.720201015472412,0.9864707589149475,100.0,2
1,0.7398846748160489,0.5671501662319295,7.394999980926514,0.6883085370063782,0.8524200320243835,1.5364577770233154,1.895979881286621,1.2713568210601807,100.0,2
2,0.755703320994049,0.5867026736406843,7.547500133514404,0.6806639432907104,0.9902473092079163,1.222848892211914,1.7301506996154785,1.0800154209136963,100.0,2
0,0.7256697139935774,0.5457757854799117,3.4600000381469727,1.0705387592315674,1.5084632635116577,2.130396842956543,2.5902514457702637,2.9530344009399414,300.0,0
1,0.704528418881668,0.5184693562546483,3.5425000190734863,1.173153042793274,1.6135611534118652,2.2426419258117676,2.709648370742798,2.4215307235717773,300.0,0
2,0.7024084050956488,0.5151333828073466,3.6875,1.2448946237564087,1.5139182806015015,2.1456260681152344,3.021406888961792,2.9530344009399414,300.0,0
0,0.6647560134850109,0.46682964272547744,4.747499942779541,0.7918046712875366,1.3462706804275513,2.327812433242798,2.7826128005981445,2.9530344009399414,300.0,1
1,0.673924544230291,0.49474434901020276,4.832499980926514,0.7976852655410767,1.5550119876861572,2.1473183631896973,2.5427134037017822,2.9509084224700928,300.0,1
2,0.6678482787377812,0.4846291813964721,4.914999961853027,0.7959210872650146,1.2622652053833008,2.0739924907684326,2.687537908554077,2.9530344009399414,300.0,1
0,0.7185833825840282,0.5305561074835133,6.039999961853027,0.6597882509231567,1.24444580078125,1.873192310333252,2.4288442134857178,2.9530344009399414,300.0,2
1,0.7117577260577178,0.5336539396994137,6.087500095367432,0.8232652544975281,1.3502711057662964,1.8162239789962769,2.2221105098724365,2.315230131149292,300.0,2
2,0.7290113814437508,0.5551280095773227,6.227499961853027,0.7841601371765137,1.2615379095077515,1.6419341564178467,2.266331434249878,2.7404327392578125,300.0,2
0,0.7256697139935774,0.5457757854799117,3.4600000381469727,1.0705387592315674,1.5084632635116577,2.130396842956543,2.5902514457702637,2.9530344009399414,200.0,0
1,0.704528418881668,0.5184693562546483,3.5425000190734863,1.173153042793274,1.6135611534118652,2.2426419258117676,2.709648370742798,2.4215307235717773,200.0,0
2,0.7024084050956488,0.5151333828073466,3.6875,1.2448946237564087,1.5139182806015015,2.1456260681152344,3.021406888961792,2.9530344009399414,200.0,0
0,0.6647560134850109,0.46682964272547744,4.747499942779541,0.7918046712875366,1.3462706804275513,2.327812433242798,2.7826128005981445,2.9530344009399414,200.0,1
1,0.673924544230291,0.49474434901020276,4.832499980926514,0.7976852655410767,1.5550119876861572,2.1473183631896973,2.5427134037017822,2.9509084224700928,200.0,1
2,0.6678482787377812,0.4846291813964721,4.914999961853027,0.7959210872650146,1.2622652053833008,2.0739924907684326,2.687537908554077,2.9530344009399414,200.0,1
0,0.7256697139935774,0.5457757854799117,3.4600000381469727,1.0705387592315674,1.5084632635116577,2.130396842956543,2.5902514457702637,2.9530344009399414,200.0,2
1,0.704528418881668,0.5184693562546483,3.5425000190734863,1.173153042793274,1.6135611534118652,2.2426419258117676,2.709648370742798,2.4215307235717773,200.0,2
2,0.7024084050956488,0.5151333828073466,3.6875,1.2448946237564087,1.5139182806015015,2.1456260681152344,3.021406888961792,2.9530344009399414,200.0,2
0,0.7263371443099308,0.5492665081820133,7.764999866485596,0.9585160613059998,1.196442723274231,1.7930980920791626,0.9496482610702515,0.9141863584518433,400.0,0
1,0.7390994086025954,0.5824933065686241,7.632500171661377,0.6909548044204712,1.2295358180999756,1.723720669746399,1.4537689685821533,1.3925395011901855,400.0,0
2,0.7298093714436207,0.5608493529088109,7.797500133514404,0.9335240125656128,1.221535325050354,1.4134960174560547,1.4515578746795654,1.4308078289031982,400.0,0
0,0.7112678072735173,0.5254773510967651,7.619999885559082,0.8338501453399658,1.460823893547058,2.414111375808716,2.705226182937622,2.8020873069763184,400.0,1
1,0.6964761693906589,0.5164102415427495,7.597499847412109,0.7785736918449402,1.5550119876861572,2.1191160678863525,2.2541708946228027,2.6724002361297607,400.0,1
2,0.691157413563412,0.49246168346956914,7.772500038146973,0.9026515483856201,1.5168275833129883,2.134345293045044,2.4708542823791504,2.5724778175354004,400.0,1
0,0.7258931254049009,0.5504765327505218,4.722499847412109,1.114348292350769,1.3124504089355469,1.8528869152069092,1.7942712306976318,1.7284499406814575,400.0,2
1,0.7193362618454927,0.5542670480842666,4.822500228881836,1.1061155796051025,1.3739089965820312,1.962875485420227,2.0828139781951904,1.9049090147018433,400.0,2
2,0.7176895990403521,0.5383747799200159,4.989999771118164,1.184913992881775,1.373181700706482,1.7146958112716675,2.075075387954712,2.1196365356445312,400.0,2
