,roc,prc,cost,delay(p>=0.1),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),delta,seed
0,0.6713359680409463,0.615338264302429,3.5667498111724854,0.772545337677002,0.6630266904830933,0.5216994285583496,0.4800927937030792,1.0,0
1,0.6672621101673855,0.6127692671706411,3.5349996089935303,0.8207505345344543,0.6346153616905212,0.5518501996994019,0.5183610320091248,1.0,0
2,0.6689189302650492,0.6137991918410812,3.528749465942383,0.772455096244812,0.5673560500144958,0.49154871702194214,0.4800927937030792,1.0,0
3,0.6728024582208251,0.6135010910162226,3.4927496910095215,0.7261457443237305,0.5975067615509033,0.5518501996994019,0.5183610916137695,1.0,0
4,0.6705376004177918,0.615716416915969,3.565499782562256,0.7998977303504944,0.6473714113235474,0.5518501996994019,0.4418245553970337,1.0,0
0,0.6729963040207418,0.6160762012770313,5.971749782562256,0.6347907781600952,0.5708349347114563,0.5216994285583496,0.4800927937030792,1.0,1
1,0.6703175166915192,0.6115674273647489,5.925000190734863,0.6916618943214417,0.5047352313995361,0.5216994285583496,0.4800927937030792,1.0,1
2,0.6811107500772444,0.6177588935023985,5.963749408721924,0.6361448764801025,0.4635678827762604,0.4613979160785675,0.403556227684021,1.0,1
3,0.6716525023845028,0.61218622642472,5.9227495193481445,0.6220623850822449,0.4548705220222473,0.5216993689537048,0.5183610916137695,1.0,1
4,0.6706651692157337,0.6126777270543556,5.950499057769775,0.6894051432609558,0.5499613285064697,0.49154865741729736,0.4418245553970337,1.0,1
0,0.6729963040207418,0.6160762012770313,5.971749782562256,0.6347907781600952,0.5708349347114563,0.5216994285583496,0.4800927937030792,1.0,2
1,0.6703175166915192,0.6115674273647489,5.925000190734863,0.6916618943214417,0.5047352313995361,0.5216994285583496,0.4800927937030792,1.0,2
2,0.6811107500772444,0.6177588935023985,5.963749408721924,0.6361448764801025,0.4635678827762604,0.4613979160785675,0.403556227684021,1.0,2
3,0.6716525023845028,0.61218622642472,5.9227495193481445,0.6220623850822449,0.4548705220222473,0.5216993689537048,0.5183610916137695,1.0,2
4,0.6706651692157337,0.6126777270543556,5.950499057769775,0.6894051432609558,0.5499613285064697,0.49154865741729736,0.4418245553970337,1.0,2
0,0.6713359680409463,0.615338264302429,3.5667498111724854,0.772545337677002,0.6630266904830933,0.5216994285583496,0.4800927937030792,1.0,3
1,0.6672621101673855,0.6127692671706411,3.5349996089935303,0.8207505345344543,0.6346153616905212,0.5518501996994019,0.5183610320091248,1.0,3
2,0.6689189302650492,0.6137991918410812,3.528749465942383,0.772455096244812,0.5673560500144958,0.49154871702194214,0.4800927937030792,1.0,3
3,0.6728024582208251,0.6135010910162226,3.4927496910095215,0.7261457443237305,0.5975067615509033,0.5518501996994019,0.5183610916137695,1.0,3
4,0.6705376004177918,0.615716416915969,3.565499782562256,0.7998977303504944,0.6473714113235474,0.5518501996994019,0.4418245553970337,1.0,3
0,0.6713359680409463,0.615338264302429,3.5667498111724854,0.772545337677002,0.6630266904830933,0.5216994285583496,0.4800927937030792,1.0,4
1,0.6672621101673855,0.6127692671706411,3.5349996089935303,0.8207505345344543,0.6346153616905212,0.5518501996994019,0.5183610320091248,1.0,4
2,0.6689189302650492,0.6137991918410812,3.528749465942383,0.772455096244812,0.5673560500144958,0.49154871702194214,0.4800927937030792,1.0,4
3,0.6728024582208251,0.6135010910162226,3.4927496910095215,0.7261457443237305,0.5975067615509033,0.5518501996994019,0.5183610916137695,1.0,4
4,0.6705376004177918,0.615716416915969,3.565499782562256,0.7998977303504944,0.6473714113235474,0.5518501996994019,0.4418245553970337,1.0,4
0,0.6873989315076774,0.6537298593411437,5.950249671936035,0.566003680229187,0.3928294777870178,0.39058926701545715,0.42500969767570496,0.5,0
1,0.6800168384516181,0.6517047246478247,5.903250217437744,0.5453314185142517,0.3200618326663971,0.3860209882259369,0.3676072657108307,0.5,0
2,0.6887189091067853,0.6557427015698146,5.875,0.5836067199707031,0.3771743178367615,0.31064409017562866,0.3676072657108307,0.5,0
3,0.6850088663200742,0.6544494858632377,5.876500129699707,0.5572473406791687,0.36238881945610046,0.3001370429992676,0.28991109132766724,0.5,0
4,0.672937321162294,0.6517876437979306,5.868000030517578,0.5864051580429077,0.3104947507381439,0.24440380930900574,0.2730962634086609,0.5,0
0,0.6694307797323984,0.6154454266255177,5.552249908447266,1.1077243089675903,0.8413220047950745,0.823206901550293,1.0541167259216309,0.5,1
1,0.671513966133344,0.609018307965781,5.5042500495910645,1.141034483909607,0.8700231909751892,0.8364550471305847,1.0541167259216309,0.5,1
2,0.6635737399078441,0.6144829152450648,5.484499454498291,1.0294586420059204,0.7891380786895752,0.8835084438323975,1.1689215898513794,0.5,1
3,0.6613496558423676,0.597542626399743,5.476500034332275,1.1060993671417236,0.8445110321044922,0.9314755797386169,0.9787397980690002,0.5,1
4,0.6705425331479467,0.6147800032449816,5.469999313354492,1.1128697395324707,0.7563780546188354,0.6404750943183899,0.9775803089141846,0.5,1
0,0.6873989315076774,0.6537298593411437,5.950249671936035,0.566003680229187,0.3928294777870178,0.39058926701545715,0.42500969767570496,0.5,2
1,0.6800168384516181,0.6517047246478247,5.903250217437744,0.5453314185142517,0.3200618326663971,0.3860209882259369,0.3676072657108307,0.5,2
2,0.6887189091067853,0.6557427015698146,5.875,0.5836067199707031,0.3771743178367615,0.31064409017562866,0.3676072657108307,0.5,2
3,0.6850088663200742,0.6544494858632377,5.876500129699707,0.5572473406791687,0.36238881945610046,0.3001370429992676,0.28991109132766724,0.5,2
4,0.672937321162294,0.6517876437979306,5.868000030517578,0.5864051580429077,0.3104947507381439,0.24440380930900574,0.2730962634086609,0.5,2
0,0.6873989315076774,0.6537298593411437,5.950249671936035,0.566003680229187,0.3928294777870178,0.39058926701545715,0.42500969767570496,0.5,3
1,0.6800168384516181,0.6517047246478247,5.903250217437744,0.5453314185142517,0.3200618326663971,0.3860209882259369,0.3676072657108307,0.5,3
2,0.6887189091067853,0.6557427015698146,5.875,0.5836067199707031,0.3771743178367615,0.31064409017562866,0.3676072657108307,0.5,3
3,0.6850088663200742,0.6544494858632377,5.876500129699707,0.5572473406791687,0.36238881945610046,0.3001370429992676,0.28991109132766724,0.5,3
4,0.672937321162294,0.6517876437979306,5.868000030517578,0.5864051580429077,0.3104947507381439,0.24440380930900574,0.2730962634086609,0.5,3
0,0.6873989315076774,0.6537298593411437,5.950249671936035,0.566003680229187,0.3928294777870178,0.39058926701545715,0.42500969767570496,0.5,4
1,0.6800168384516181,0.6517047246478247,5.903250217437744,0.5453314185142517,0.3200618326663971,0.3860209882259369,0.3676072657108307,0.5,4
2,0.6887189091067853,0.6557427015698146,5.875,0.5836067199707031,0.3771743178367615,0.31064409017562866,0.3676072657108307,0.5,4
3,0.6850088663200742,0.6544494858632377,5.876500129699707,0.5572473406791687,0.36238881945610046,0.3001370429992676,0.28991109132766724,0.5,4
4,0.672937321162294,0.6517876437979306,5.868000030517578,0.5864051580429077,0.3104947507381439,0.24440380930900574,0.2730962634086609,0.5,4
0,0.6749659326764197,0.6230415384974581,3.8162500858306885,1.0674630403518677,1.1283340454101562,1.1315670013427734,1.2013914585113525,0.2,0
1,0.682998726306103,0.6286440070720951,3.8369994163513184,0.9923570156097412,1.0648434162139893,1.011420726776123,1.045419454574585,0.2,0
2,0.6762691180026599,0.619556729813455,3.8702499866485596,1.0563596487045288,1.1639931201934814,1.119232416152954,1.161963701248169,0.2,0
3,0.6791622167143567,0.6271599722335388,3.891749858856201,1.051936388015747,1.1868960857391357,1.3051621913909912,1.3069192171096802,0.2,0
