,roc,prc,cost,delay(p>=0.1),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),lambda,seed
0,0.641604881597684,0.5880332872478026,3.2895002365112305,1.1741642951965332,0.9387321472167969,1.069438099861145,1.2222651243209839,100.0,0
1,0.6474999139396016,0.5813715719752397,3.2592499256134033,1.2702133655548096,1.0103402137756348,1.0963910818099976,1.1822574138641357,100.0,0
2,0.6279228000443315,0.5791481436300174,3.319999933242798,1.18644118309021,0.9671434164047241,0.9776153564453125,1.2066099643707275,100.0,0
3,0.6314521684701568,0.578215277510397,3.3259999752044678,1.1989890336990356,0.9683030843734741,1.0077660083770752,1.1816775798797607,100.0,0
4,0.6614687235521703,0.595923298390654,3.388000249862671,1.1035717725753784,0.8720525503158569,0.8273183703422546,0.9532275795936584,100.0,0
0,0.5253382803369201,0.5192283796341481,0.8667500019073486,1.4669153690338135,1.3492462635040283,1.326633095741272,1.3161964416503906,100.0,1
1,0.5414410729758594,0.5171586104182214,0.9135000109672546,1.4551801681518555,1.4011403322219849,1.396071195602417,1.3602629899978638,100.0,1
2,0.5144648113723989,0.5107535979981657,0.8999999761581421,1.4814491271972656,1.4011403322219849,1.396071195602417,1.3602629899978638,100.0,1
3,0.5179002480218702,0.5106934026671855,0.9195001125335693,1.4740469455718994,1.4011403322219849,1.396071195602417,1.3602629899978638,100.0,1
4,0.5416051649672887,0.5223296359278599,0.9307499527931213,1.4696235656738281,1.3379396200180054,1.3252625465393066,1.277928113937378,100.0,1
0,0.677841451977458,0.6223078872389922,5.920000076293945,0.6837180256843567,0.5261886119842529,0.5052535533905029,0.5566293001174927,100.0,2
1,0.6704100316198498,0.6147603005283819,5.884250640869141,0.655462920665741,0.6166409254074097,0.6057559847831726,0.5641669631004333,100.0,2
2,0.6759787691096065,0.6209941400869083,5.954999923706055,0.769927442073822,0.6134518384933472,0.5331201553344727,0.473714679479599,100.0,2
3,0.6822430740270556,0.6197821498066395,6.015749931335449,0.772906482219696,0.7195593118667603,0.5331201553344727,0.5583687424659729,100.0,2
4,0.6701608237953224,0.6192550610316461,5.941750526428223,0.6965366005897522,0.5966370105743408,0.5308359861373901,0.5647467970848083,100.0,2
0,0.6738909648336221,0.6224443091062005,3.5349996089935303,0.8333884477615356,0.599536120891571,0.6998628973960876,0.6035948991775513,100.0,3
1,0.6668304438029796,0.6172780721791631,3.5467498302459717,0.8229169845581055,0.7340548634529114,0.7322978377342224,0.571704626083374,100.0,3
2,0.6670860536815378,0.617800505017676,3.505000114440918,0.8600187301635742,0.7352145314216614,0.6304248571395874,0.5160417556762695,100.0,3
3,0.6750185659566894,0.6166615911882637,3.5607495307922363,0.8768994808197021,0.7914572358131409,0.6409319043159485,0.5583687424659729,100.0,3
4,0.6798780922970485,0.6242548216723871,3.4992499351501465,0.7855444550514221,0.7076730132102966,0.6253997087478638,0.6418631672859192,100.0,3
0,0.6668918930265049,0.6095932384452951,1.100000023841858,1.2937742471694946,1.2599536180496216,1.2562813758850098,1.1828372478485107,100.0,4
1,0.6587042956313223,0.5910717321472424,1.151750087738037,1.2699425220489502,1.3567839860916138,1.3261762857437134,1.3150367736816406,100.0,4
2,0.6610027379800911,0.5947526747284869,1.1325000524520874,1.3006348609924316,1.33504056930542,1.3261762857437134,1.2715500593185425,100.0,4
3,0.6539102066792946,0.5966091490582429,1.160749912261963,1.298829436302185,1.3330111503601074,1.3590680360794067,1.3132972717285156,100.0,4
4,0.6580681833447521,0.5974954700855374,1.1692500114440918,1.2813167572021484,1.2524158954620361,1.225673794746399,1.2727097272872925,100.0,4
0,0.6246211768192749,0.5778366442232337,5.716749668121338,1.2171335220336914,1.0019327402114868,1.08953857421875,1.2234247922897339,300.0,0
1,0.646130189232123,0.5760976044122961,5.695999622344971,1.266331672668457,1.0332430601119995,0.9949747920036316,1.1822574138641357,300.0,0
2,0.6255193010384341,0.5790806217033344,5.707499980926514,1.256492018699646,0.9790297746658325,0.9803562760353088,1.2245844602584839,300.0,0
3,0.6341079713758917,0.5794192516041105,5.691999435424805,1.2461107969284058,1.0535368919372559,1.0813157558441162,1.1799380779266357,300.0,0
4,0.6431350774627547,0.5887068810146299,5.658249378204346,1.208918809890747,0.9717819690704346,1.060301423072815,1.1370314359664917,300.0,0
0,0.5031586790022702,0.5189495522993549,3.281749963760376,1.4653807878494263,1.3570739030838013,1.326633095741272,1.3161964416503906,300.0,1
1,0.5432585741345263,0.5196497290447183,3.3010001182556152,1.453916311264038,1.3938924074172974,1.396071195602417,1.3602629899978638,300.0,1
2,0.512304852798936,0.5124065743455133,3.3350000381469727,1.472692847251892,1.4011403322219849,1.396071195602417,1.3602629899978638,300.0,1
3,0.5089044175432234,0.5124790199924102,3.291999578475952,1.4740469455718994,1.4011403322219849,1.396071195602417,1.3602629899978638,300.0,1
4,0.5209842014098792,0.5205472724845027,3.3282501697540283,1.4696235656738281,1.3379396200180054,1.3252625465393066,1.2703903913497925,300.0,1
0,0.6194741352819086,0.5725487143997328,8.101749420166016,1.2211055755615234,0.9775801301002502,1.022841453552246,1.2234247922897339,300.0,2
1,0.6431282031260495,0.574461562972797,8.033499717712402,1.2394306659698486,1.0242558717727661,0.9908634424209595,1.1399304866790771,300.0,2
2,0.6213784315009605,0.575177188939801,8.157500267028809,1.2304035425186157,0.9622148871421814,0.9817267656326294,1.2245844602584839,300.0,2
3,0.6289448197517431,0.5766034524308343,8.14699935913086,1.2132519483566284,1.0114998817443848,1.037916898727417,1.143989086151123,300.0,2
4,0.6334188584780827,0.5841676222752921,8.100749969482422,1.2253482341766357,0.8943756818771362,0.9794427156448364,1.0906455516815186,300.0,2
0,0.677841451977458,0.6223078872389922,5.920000076293945,0.6837180256843567,0.5261886119842529,0.5052535533905029,0.5566293001174927,300.0,3
1,0.6704243050517874,0.6147911782280227,5.8892502784729,0.655462920665741,0.6166409254074097,0.6057559847831726,0.5641669631004333,300.0,3
2,0.6760125635587527,0.621011508897673,5.954999923706055,0.769927442073822,0.6134518384933472,0.5331201553344727,0.473714679479599,300.0,3
3,0.6824460506253442,0.619819641333865,6.018249988555908,0.772906482219696,0.7195593118667603,0.5331201553344727,0.5583687424659729,300.0,3
4,0.6701608237953224,0.6192550610316461,5.941750526428223,0.6965366005897522,0.5966370105743408,0.5308359861373901,0.5647467970848083,300.0,3
0,0.6370046384455729,0.5818510721263171,3.3017499446868896,1.223994255065918,0.9964244365692139,1.0520786046981812,1.2234247922897339,300.0,4
1,0.655121086980615,0.5788880665143366,3.308500051498413,1.2757198810577393,1.033532977104187,1.060758352279663,1.1822574138641357,300.0,4
2,0.6437330398044037,0.5849357327053619,3.2725000381469727,1.239611268043518,0.9790297746658325,0.9862950444221497,1.2245844602584839,300.0,4
3,0.6560047278644259,0.585204017475255,3.3194994926452637,1.2647067308425903,1.0668728351593018,1.0169025659561157,1.1799380779266357,300.0,4
4,0.6654398337061218,0.5952693997912022,3.2607500553131104,1.2146060466766357,0.9680131077766418,1.0776610374450684,1.098183274269104,300.0,4
