,roc,prc,cost,delay(p>=0.1),delay(p>=0.3),delay(p>=0.5),delay(p>=0.7),lambda,seed
0,0.6804037429136609,0.6504127190985847,5.730999946594238,0.5495741963386536,0.24497486650943756,0.17953401803970337,0.18090452253818512,200.0,0
1,0.6886537865735702,0.6536367555555421,5.92449951171875,0.5222219228744507,0.2519327402114868,0.14801280200481415,0.17336681485176086,200.0,0
2,0.6862488182437969,0.6541361505653269,5.703499794006348,0.519513726234436,0.2965790629386902,0.19278208911418915,0.17452646791934967,200.0,0
3,0.6781167927766358,0.6481460940569296,5.9160003662109375,0.5351307392120361,0.2846926748752594,0.21105526387691498,0.20757634937763214,200.0,0
4,0.6917253556603393,0.6591406268513068,5.8067498207092285,0.502362072467804,0.32383066415786743,0.17085427045822144,0.13683801889419556,200.0,0
0,0.6855557696570347,0.6545195651679645,8.804998397827148,0.38654351234436035,0.2768650949001312,0.16948376595973969,0.15133358538150787,200.0,1
1,0.6905016712509572,0.6585855925746451,8.869000434875488,0.41272228956222534,0.19800926744937897,0.14253082871437073,0.16814842820167542,200.0,1
2,0.6864385709272021,0.6574067484304639,8.829249382019043,0.39809828996658325,0.23134906589984894,0.2261306494474411,0.1901816576719284,200.0,1
3,0.6880469558128132,0.6582829327457127,9.00149917602539,0.44251197576522827,0.24700425565242767,0.13750571012496948,0.14843448996543884,200.0,1
4,0.6840818279060707,0.6537118439661638,8.854249954223633,0.3719194829463959,0.2249709963798523,0.1370488852262497,0.16177037358283997,200.0,1
0,0.6778924585062936,0.6493584756751619,4.184499740600586,0.45433756709098816,0.3438345491886139,0.31110095977783203,0.20467720925807953,200.0,2
1,0.6778715206410618,0.642449940414874,4.300749778747559,0.4969457685947418,0.3423849940299988,0.35267242789268494,0.32528024911880493,200.0,2
2,0.6758090097260845,0.6470551969954705,4.215249538421631,0.5175277590751648,0.35166212916374207,0.20009136199951172,0.2962891161441803,200.0,2
3,0.6845798762241567,0.6488889554088891,4.232999801635742,0.5183401703834534,0.344704270362854,0.29419824481010437,0.3206416666507721,200.0,2
4,0.676554796544822,0.6509014440020686,4.133749485015869,0.5035356283187866,0.35166212916374207,0.3307446241378784,0.3339775800704956,200.0,2
0,0.6866300028378941,0.6544924016087276,8.755498886108398,0.3878976106643677,0.2626594305038452,0.1658291518688202,0.15771161019802094,200.0,3
1,0.6905694175768078,0.6588023741294824,8.81049919128418,0.4085697829723358,0.18873213231563568,0.14572864770889282,0.16235019266605377,200.0,3
2,0.6868778462902511,0.6577241426406494,8.756499290466309,0.3892516493797302,0.2270003855228424,0.2261306494474411,0.1901816576719284,200.0,3
3,0.6877447473770469,0.6580361257974732,8.939499855041504,0.4442271292209625,0.2490336298942566,0.13613520562648773,0.12350212782621384,200.0,3
4,0.6848334395444593,0.6544687293641613,8.777750015258789,0.3741762638092041,0.22062233090400696,0.13567839562892914,0.15655197203159332,200.0,3
0,0.6860665171314768,0.6547364384891227,8.788749694824219,0.38997381925582886,0.2704870402812958,0.16765645146369934,0.15133358538150787,200.0,4
1,0.6901638841870525,0.658612061494533,8.793499946594238,0.4088406264781952,0.1678585261106491,0.1402466893196106,0.1774255633354187,200.0,4
2,0.685703646609976,0.6573078144810631,8.791500091552734,0.3978274166584015,0.2267104834318161,0.23115576803684235,0.1901816725730896,200.0,4
3,0.6874753888250782,0.6584296664240138,8.943999290466309,0.44558122754096985,0.2400463968515396,0.13978983461856842,0.1542326807975769,200.0,4
4,0.6854168660749069,0.6538991961347786,8.795249938964844,0.38374510407447815,0.2249709963798523,0.1365920603275299,0.16119053959846497,200.0,4
